0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.415898,0.105385,0.017868,0.003155,0.000527,8.5e-05,1.7e-05,0,1e-06,0,0,0,0,0,0,0,0,0,0,0
2,0.754489,0.362468,0.122175,0.050433,0.016441,0.006799,0.002257,0.000893,0.000287,0.000125,2.9e-05,1.4e-05,4e-06,1e-06,0,0,0,0,0,0
3,0.91599,0.656098,0.326868,0.208507,0.116991,0.055786,0.031935,0.017251,0.007988,0.004599,0.00244,0.001102,0.000617,0.000346,0.000139,8.4e-05,5.4e-05,2.4e-05,1.4e-05,9e-06
4,0.971544,0.78575,0.437633,0.308401,0.192101,0.109335,0.069251,0.039219,0.022,0.013226,0.007,0.00389,0.002308,0.001217,0.000699,0.000405,0.000201,9.9e-05,5.1e-05,3.2e-05
5,0.990261,0.89119,0.566264,0.4094,0.276269,0.176949,0.112726,0.070249,0.043899,0.025907,0.015572,0.009573,0.005488,0.003271,0.001944,0.001085,0.000614,0.000363,0.000191,0.000111
6,0.996722,0.934572,0.683176,0.523003,0.375709,0.253305,0.172395,0.114864,0.072759,0.046393,0.029586,0.018179,0.0111,0.006909,0.003924,0.002465,0.001488,0.000867,0.000496,0.000307
7,0.998903,0.966609,0.754415,0.604643,0.461593,0.331297,0.237813,0.162747,0.109071,0.073842,0.047364,0.031179,0.020021,0.012403,0.007701,0.004841,0.002884,0.001847,0.001121,0.000669
8,0.999613,0.980561,0.815942,0.682788,0.541115,0.408751,0.303334,0.217924,0.153315,0.106731,0.072434,0.048892,0.031497,0.020903,0.013361,0.008317,0.005294,0.003376,0.002148,0.001351
9,0.999872,0.99011,0.869162,0.748262,0.615883,0.486269,0.373532,0.279844,0.204151,0.145706,0.103031,0.070733,0.048044,0.032293,0.021211,0.013893,0.009144,0.005692,0.003693,0.002299
10,0.999967,0.994136,0.900824,0.797548,0.680889,0.554193,0.442077,0.340918,0.257039,0.189835,0.137022,0.097118,0.068636,0.046901,0.031933,0.021661,0.014149,0.009501,0.006291,0.003928
11,0.999982,0.997102,0.927107,0.843058,0.737218,0.61955,0.508344,0.403959,0.313268,0.238529,0.176819,0.130229,0.093071,0.065818,0.046417,0.031666,0.021448,0.01468,0.009719,0.006429
12,0.999994,0.998258,0.948773,0.876848,0.784545,0.679158,0.569695,0.465769,0.372056,0.28893,0.220569,0.164378,0.12193,0.088478,0.062569,0.044225,0.031041,0.021303,0.014283,0.009753
13,0.999999,0.999072,0.961504,0.903121,0.82595,0.727611,0.627623,0.524411,0.42879,0.34177,0.267399,0.204564,0.154843,0.113608,0.083476,0.060425,0.04272,0.030176,0.020917,0.014512
14,0.999999,0.999489,0.97188,0.926678,0.858368,0.772271,0.679941,0.580645,0.484424,0.395869,0.315252,0.248287,0.18983,0.144781,0.107987,0.079301,0.057426,0.041241,0.029416,0.020376
15,0.999999,0.999757,0.980338,0.942635,0.886643,0.813721,0.724819,0.631886,0.538333,0.44782,0.366807,0.292372,0.229879,0.177992,0.13536,0.101101,0.07583,0.054691,0.03984,0.028506
16,1,0.999861,0.985029,0.956184,0.910562,0.843914,0.767326,0.680776,0.588953,0.500743,0.415482,0.338238,0.271962,0.213702,0.165663,0.12681,0.09598,0.071189,0.052733,0.03802
17,1,0.999926,0.989256,0.966612,0.927893,0.873258,0.805205,0.723365,0.637349,0.551331,0.465536,0.387507,0.314835,0.252238,0.199751,0.155134,0.11837,0.09031,0.067368,0.050003
